"File","Change","Regression","Detail"
"pdf_a-2b\6.1 file structure\6.1.12 permissions\verapdf test suite 6-1-12-t02-fail-c.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.12 test 2"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-c.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 1"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-e.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 1"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 2"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 2"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-c.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 2"
"pdf_a-2b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-d.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.2 test 2"
"pdf_a-2b\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.3 test 1"
